Cohort,Treatment,Biomarkers,Gene,Event,Association,Measurement,Evidence,Protein,Function,Database,Citations
Kidney,Multikinase inhibitor,CA9,CA9,Overexpression,Response,"IHC, RNA-seq",Medium,Enzyme (carbonic anhydrase),"CA9 overexpression linked to VHL loss, may predict response to VEGF-TKIs","TCGA, GEO",https://ascopubs.org/doi/10.1200/EDBK_430734
Kidney,Targeted therapy,HIF2α (EPAS1),EPAS1,Mutation,Response/Resistance,"RNA-seq, NGS",Medium,Transcription factor,Target of HIF2α inhibitors; mutations may confer resistance,"TCGA, COSMIC",https://ascopubs.org/doi/10.1200/EDBK_430734
Kidney,Targeted therapy,CA9,CA9,Overexpression,Response,"IHC, RNA-seq",Medium,Enzyme (carbonic anhydrase),"HIF target; marker of hypoxia, may predict response to HIF2α inhibitors","TCGA, GEO",https://ascopubs.org/doi/10.1200/EDBK_430734
Kidney,Targeted therapy,PD-L1,CD274,Overexpression,Response/Non-response,"IHC, RNA-seq",Medium,Immune checkpoint ligand,Predicts response to immune checkpoint inhibitors (ICIs),"TCGA, GEO",https://actionkidneycancer.org/the-role-of-biomarkers-in-predicting-response-to-treatment-in-metastatic-kidney-cancer/
Kidney,Targeted therapy,PD-1,PDCD1,Overexpression,Response/Non-response,"IHC, RNA-seq",Medium,Immune checkpoint receptor,Predicts response to ICIs,"TCGA, GEO",https://actionkidneycancer.org/the-role-of-biomarkers-in-predicting-response-to-treatment-in-metastatic-kidney-cancer/
Kidney,Targeted therapy,VEGFA,VEGFA,Overexpression,Response,"RNA-seq, IHC",Medium,Growth factor,"Target of VEGF inhibitors (e.g., sunitinib, pazopanib)","TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC10645469/
Kidney,Targeted therapy,PBRM1,PBRM1,Mutation,Response/Non-response,"NGS, PCR",Medium,Chromatin remodeler,Mutations may predict response to ICIs,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10645469/
Kidney,Targeted therapy,BAP1,BAP1,Mutation,Non-response,"NGS, PCR",Medium,Deubiquitinase,"Mutations linked to poor prognosis, resistance to some therapies","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10645469/
Kidney,Targeted therapy,mTOR,MTOR,"Mutation, Activation",Response,"NGS, IHC",Medium,Kinase,"Target of mTOR inhibitors (e.g., everolimus)","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10645469/
Kidney,Targeted therapy,TSC1/TSC2,TSC1/TSC2,Mutation,Response,"NGS, PCR",Medium,Tumor suppressor,Mutations predict response to mTOR inhibitors,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10645469/
Lung NSCLC,Anti-PD-1,sPD-1 (soluble PD-1),PDCD1,Splice variant,Response,ELISA (serum),Medium,Immune checkpoint receptor,Downregulation in responders; modulates immune activation,GEO,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1157100/full
Lung NSCLC,Anti-PD-1,STK11/LKB1 Mutation,STK11,Mutation,Non-response,"NGS, PCR",Medium,Kinase,"Loss impairs immune response, linked to resistance","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10351040/
Lung NSCLC,Anti-PD-1,KEAP1 Mutation,KEAP1,Mutation,Non-response,"NGS, PCR",Medium,Regulatory protein,"Alters oxidative stress response, associated with resistance","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10351040/
Lung NSCLC,Anti-PD-1,IFN-γ Signature,IFNG,Expression,Response,"RNA-seq, qPCR",Medium,Cytokine,High IFN-γ signature correlates with response,"TCGA, GEO",https://pubmed.ncbi.nlm.nih.gov/36822668/
Lung NSCLC,Anti-PD-1,HLA Class I Loss,HLA-A/B/C,Deletion/Mutation,Non-response,"NGS, IHC",Medium,Antigen-presenting molecule,"Loss impairs antigen presentation, leading to immune evasion","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10351040/
Lung NSCLC,Anti-PD-1,PTEN Loss,PTEN,Deletion/Mutation,Non-response,"NGS, IHC",Medium,Phosphatase,Loss leads to immune suppression and resistance,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10351040/
Lung NSCLC,Chemotherapy,ERCC1,ERCC1,Mutation/Expression,Non-response,"IHC, PCR, RNA-seq",Medium,DNA repair enzyme,High ERCC1 expression linked to resistance to platinum-based chemotherapy,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC6025105/
Lung NSCLC,Chemotherapy,RRM1,RRM1,Expression,Non-response,"IHC, PCR, RNA-seq",Medium,Enzyme,High RRM1 expression associated with gemcitabine resistance,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC6025105/
Lung NSCLC,Chemotherapy,BRCA1,BRCA1,Mutation/Expression,Response,"IHC, PCR, RNA-seq",Medium,Tumor suppressor,High BRCA1 expression may predict better response to platinum agents,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC6025105/
Lung NSCLC,Chemotherapy,TYMS,TYMS,Expression,Non-response,"IHC, PCR, RNA-seq",Medium,Enzyme,High TYMS expression linked to resistance to pemetrexed and 5-FU,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC6025105/
Lung NSCLC,Chemotherapy,TP53,TP53,Mutation,Non-response,"NGS, PCR",Medium,Tumor suppressor,TP53 mutations often linked to poor prognosis and chemo resistance,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC6025105/
Lung NSCLC,Chemotherapy,KRAS,KRAS,Mutation,Non-response,"PCR, NGS",Medium,GTPase,KRAS mutations associated with poor response to chemotherapy,"TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC6025105/, https://www.frontiersin.org/journals/oncology-reviews/articles/10.3389/or.2024.1445826/full"
Lung NSCLC,Chemotherapy,TUBB3,TUBB3,Expression,Non-response,"IHC, PCR",Medium,Structural protein,High TUBB3 expression linked to taxane resistance,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC6025105/
Lung NSCLC,Chemotherapy,MSH2,MSH2,Mutation/Expression,Non-response,"IHC, PCR, NGS",Medium,DNA repair enzyme,Mismatch repair deficiency linked to chemo resistance,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC6025105/
Lung NSCLC,Chemotherapy,MET,MET,Amplification,Non-response,"FISH, NGS, PCR",Medium,Receptor tyrosine kinase,MET amplification linked to poor chemo response and resistance,"TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC6025105/, https://www.frontiersin.org/journals/oncology-reviews/articles/10.3389/or.2024.1445826/full"
Lung NSCLC,Immunotherapy,STK11/LKB1 Mutation,STK11,Mutation,Non-response,"NGS, PCR",Medium,Serine/threonine kinase,"Loss impairs immune infiltration, confers resistance","TCGA, COSMIC",https://pcm.amegroups.org/article/view/7603/html
Lung NSCLC,Immunotherapy,LDH,LDHA,Expression,Non-response,Serum assay,Medium,Enzyme,"High LDH reflects tumor proliferation, linked to poor ICI response",GEO,"https://pcm.amegroups.org/article/view/7603/html, https://www.frontiersin.org/journals/oncology/articles/10.3389/fonc.2024.1489977/full"
Lung NSCLC,Immunotherapy,Interferon-γ,IFNG,Expression,Response,"ELISA, RNA-seq",Medium,Cytokine,"Promotes anti-tumor immunity, higher levels linked to better response",GEO,https://pcm.amegroups.org/article/view/7603/html
Lung NSCLC,Immunotherapy,Neutrophil-to-Lymphocyte Ratio (NLR),N/A,N/A,Non-response,CBC (blood test),Medium,N/A (cell ratio),"High NLR indicates systemic inflammation, predicts poor ICI response",GEO,https://pcm.amegroups.org/article/view/7603/html
Lung NSCLC,Immunotherapy,sPD-L1 (soluble),CD274,Expression,Non-response,ELISA,Medium,Immune checkpoint ligand,High sPD-L1 in plasma linked to worse outcomes,GEO,"https://pmc.ncbi.nlm.nih.gov/articles/PMC10418476/, https://www.frontiersin.org/journals/oncology/articles/10.3389/fonc.2024.1489977/full"
Lung NSCLC,Immunotherapy,IL-6,IL6,Expression,Non-response,ELISA,Medium,Cytokine,High IL-6 associated with immunotherapy resistance,GEO,https://www.frontiersin.org/journals/oncology/articles/10.3389/fonc.2024.1489977/full
Lung NSCLC,Immunotherapy,IL-8,CXCL8,Expression,Non-response,ELISA,Medium,Chemokine,High IL-8 linked to resistance and poor survival,GEO,https://www.frontiersin.org/journals/oncology/articles/10.3389/fonc.2024.1489977/full
Lung NSCLC,Immunotherapy,CXCL10,CXCL10,Expression,Non-response,ELISA,Medium,Chemokine,High CXCL10 associated with resistance and inferior outcomes,GEO,https://www.frontiersin.org/journals/oncology/articles/10.3389/fonc.2024.1489977/full
Ovary,Chemotherapy,FGF1,FGF1,Amplification,Non-response,"CGH, qPCR, IHC",Medium,Growth factor,Amplification linked to poor survival and chemoresistance,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC3381792/
Ovary,Chemotherapy,CT45,CT45,Overexpression,Response,"RNA-seq, IHC",Medium,Cancer/testis antigen,High expression linked to improved response to platinum chemotherapy,TCGA,https://www.uchicagomedicine.org/forefront/cancer-articles/2018/september/novel-biomarker-found-in-ovarian-cancer-patients-can-predict-response-to-therapy
Ovary,Chemotherapy,ERCC1,ERCC1,Overexpression,Non-response,"qPCR, IHC",Medium,DNA repair enzyme,High levels confer resistance to platinum-based chemotherapy,"TCGA, GEO",https://erc.bioscientifica.com/view/journals/erc/25/5/ERC-17-0336.xml
Ovary,Chemotherapy,ABCB1 (MDR1),ABCB1,Amplification,Non-response,"qPCR, IHC",Medium,Transporter,Drug efflux pump; overexpression leads to multidrug resistance,"TCGA, COSMIC",https://erc.bioscientifica.com/view/journals/erc/25/5/ERC-17-0336.xml
Ovary,Chemotherapy,TP53,TP53,Mutation,Non-response,"NGS, IHC",Medium,Tumor suppressor,Mutations associated with chemoresistance in some ovarian cancer subtypes,"TCGA, COSMIC",https://erc.bioscientifica.com/view/journals/erc/25/5/ERC-17-0336.xml
Ovary,Chemotherapy,ARID1A,ARID1A,Mutation,Non-response,"NGS, IHC",Medium,Chromatin remodeler,Loss-of-function mutations associated with platinum resistance,"TCGA, COSMIC",https://erc.bioscientifica.com/view/journals/erc/25/5/ERC-17-0336.xml
Ovary,Chemotherapy,MMR Deficiency,MLH1/MSH2,Mutation/Deletion,Response,"IHC, PCR, MSI testing",Medium,DNA repair enzymes,Deficiency predicts response to immunotherapy and possibly platinum,"TCGA, COSMIC",https://www.targetedonc.com/view/the-role-of-biomarker-testing-in-ovarian-cancer
Ovary,Chemotherapy,93-gene signature,Multiple,Expression,Response,"RNA-seq, microarray",Medium,Mixed,Predicts pathologic complete response to chemotherapy,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC3381792/
Pan-Cancer,Alkaloid,β-tubulin,TUBB,Mutation,Non-response,"Somatic Mutations, IHC",Medium,Structural protein,Mutations confer resistance to microtubule-targeting alkaloids,"COSMIC, TCGA",https://pmc.ncbi.nlm.nih.gov/articles/PMC8716855/
Pan-Cancer,Alkaloid,BCL2,BCL2,Amplification,Non-response,"IHC, RNA-seq",Medium,Anti-apoptotic,"Overexpression inhibits apoptosis, reducing alkaloid efficacy","TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC8716855/
Pan-Cancer,Alkaloid,MDM2,MDM2,Amplification,Non-response,"IHC, RNA-seq, PCR",Medium,E3 ligase,"Inhibits p53, reducing apoptosis and drug response","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC8716855/
Pan-Cancer,Alkaloid,ERCC1,ERCC1,Amplification,Non-response,"RNA-seq, PCR",Medium,DNA repair protein,"High expression repairs alkaloid-induced DNA damage, reducing efficacy","TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC8716855/
Pan-Cancer,Alkaloid,GSTP1,GSTP1,Amplification,Non-response,"RNA-seq, PCR",Medium,Detoxification enzyme,"Detoxifies alkaloid drugs, leading to resistance","TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC8716855/
Pan-Cancer,Alkaloid,HDAC1,HDAC1,Amplification,Non-response,"RNA-seq, IHC, PCR",Medium,Enzyme,"Alters chromatin, can mediate resistance to alkaloid-induced apoptosis","TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC10813144/
Pan-Cancer,Alkaloid,EGFR,EGFR,Amplification,Non-response,"IHC, RNA-seq, PCR",Medium,Receptor tyrosine kinase,"Activation promotes survival pathways, reducing alkaloid efficacy","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC8716855/
Pan-Cancer,Alkaloid,NF-κB,RELA,Activation,Non-response,"IHC, RNA-seq",Medium,Transcription factor,"Promotes survival and inflammation, counteracting alkaloid-induced apoptosis","TCGA, GEO",https://pubs.rsc.org/en/content/articlehtml/2025/ra/d4ra05089d
Pan-Cancer,Alkaloid,Caspase-3,CASP3,Disruption,Non-response,"IHC, RNA-seq",Medium,Protease,"Loss impairs apoptosis, reducing alkaloid efficacy","TCGA, GEO",https://pubs.rsc.org/en/content/articlehtml/2025/ra/d4ra05089d
Pan-Cancer,Alkaloid,Wnt/β-catenin,CTNNB1,Activation,Non-response,"IHC, RNA-seq",Medium,Transcription factor,"Activation promotes resistance to apoptosis, reducing alkaloid efficacy","TCGA, GEO",https://pubs.rsc.org/en/content/articlehtml/2025/ra/d4ra05089d
Pan-Cancer,Alkylating,miR-181a,MIR181A1,Upregulation,Response,"qRT-PCR, RNA-seq",Medium,microRNA,"Suppresses MGMT, increases sensitivity to alkylating agents.",GEO,https://pmc.ncbi.nlm.nih.gov/articles/PMC9019174/
Pan-Cancer,Alkylating,miR-18a,MIR18A1,Upregulation,Non-response,"qRT-PCR, RNA-seq",Medium,microRNA,Associated with shorter overall survival after alkylating therapy.,GEO,https://pmc.ncbi.nlm.nih.gov/articles/PMC9019174/
Pan-Cancer,Alkylating,miR-222,MIR222,Upregulation,Non-response,"qRT-PCR, RNA-seq",Medium,microRNA,Linked to shorter progression-free survival after alkylating therapy.,GEO,https://pmc.ncbi.nlm.nih.gov/articles/PMC9019174/
Pan-Cancer,Alkylating,miR-221,MIR221,Upregulation,Non-response,"qRT-PCR, RNA-seq",Medium,microRNA,Upregulated in poor responders to cyclophosphamide-based therapy.,GEO,https://pmc.ncbi.nlm.nih.gov/articles/PMC9019174/
Pan-Cancer,Alkylating,miR-93,MIR93,Upregulation,Non-response,"qRT-PCR, RNA-seq",Medium,microRNA,"Targets apoptosis regulators, upregulated in poor responders.",GEO,https://pmc.ncbi.nlm.nih.gov/articles/PMC9019174/
Pan-Cancer,Alkylating,miR-21,MIR21,Downregulation,Response,"qRT-PCR, RNA-seq",Medium,microRNA,Knockdown sensitizes cells to alkylating agents by upregulating PTEN.,GEO,https://pmc.ncbi.nlm.nih.gov/articles/PMC9019174/
Pan-Cancer,Alkylating,PTEN,PTEN,Upregulation,Response,"RNA-seq, IHC, mutation analysis",Medium,Tumor suppressor,"Upregulated by miR-21 knockdown, sensitizing cells to alkylating agents.","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC9019174/
Pan-Cancer,Alkylating,PARP1/2,"PARP1, PARP2","Mutation, Expression",Response,"RNA-seq, IHC, mutation analysis",Medium,DNA repair enzyme,"Inhibition (e.g., by olaparib) synergizes with alkylating agents.","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC11384948/
Pan-Cancer,Anti-AR,RB1 Loss,RB1,Deletion/Mutation,Non-response,"WES, IHC",Medium,Tumor suppressor,Loss leads to unchecked proliferation and therapy resistance,"TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC8750084/, https://www.mdpi.com/2072-6694/13/22/5723"
Pan-Cancer,Anti-AR,HSD17B2 Methylation,HSD17B2,Epigenetic Silencing,Non-response,Methylation-specific PCR,Medium,Enzyme,"Silencing increases androgen synthesis, bypassing AR blockade","GEO, TCGA",https://www.spandidos-publications.com/10.3892/wasj.2025.313
Pan-Cancer,Anti-AR,GR Overexpression,NR3C1,Overexpression,Non-response,"RNA-seq, IHC",Medium,Nuclear receptor,Glucocorticoid receptor activation compensates for AR inhibition,"TCGA, GEO","https://www.spandidos-publications.com/10.3892/wasj.2025.313, https://www.mdpi.com/2072-6694/13/22/5723"
Pan-Cancer,Anti-AR,SPOP Mutation,SPOP,Mutation,Non-response,"WES, targeted sequencing",Medium,E3 ubiquitin ligase,"Alters AR degradation, promoting resistance","TCGA, COSMIC",https://www.mdpi.com/2072-6694/13/22/5723
Pan-Cancer,Anti-AR,FOXA1 Mutation,FOXA1,Mutation,Non-response,"WES, targeted sequencing",Medium,Transcription factor,"Alters AR chromatin binding, affecting therapy response","TCGA, COSMIC",https://www.mdpi.com/2072-6694/13/22/5723
Pan-Cancer,Anti-AR,CDK12 Mutation,CDK12,Mutation,Non-response,"WES, targeted sequencing",Medium,Kinase,Associated with genomic instability and poor response,"TCGA, COSMIC",https://www.mdpi.com/2072-6694/13/22/5723
Pan-Cancer,Anti-AR,ETS Fusion,TMPRSS2-ERG,Gene Fusion,Non-response,"FISH, RT-PCR",Medium,Transcription factor,"Fusion drives AR signaling, associated with resistance","TCGA, COSMIC",https://www.mdpi.com/2072-6694/13/22/5723
Pan-Cancer,Anti-AR,Ca 19-9,FUT3/6,Overexpression,Non-response,Serum ELISA,Medium,Glycoprotein,"Marker of aggressive disease, poor response in some cancers","TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC5955785/
Pan-Cancer,Anti-AR,EGFR Overexpression,EGFR,Overexpression,Non-response,"IHC, RNA-seq",Medium,Receptor tyrosine kinase,"EGFR pathway activation can bypass AR signaling, conferring resistance","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC5955785/
Pan-Cancer,Anti-CTLA-4,TIM-3,HAVCR2,Amplification,Non-response,"RNA-seq, IHC",Medium,Immune checkpoint,Inhibits T cell responses; associated with resistance,"TCGA, TIMER",https://pmc.ncbi.nlm.nih.gov/articles/PMC11973099/
Pan-Cancer,Anti-CTLA-4,LAG-3,LAG3,Amplification,Non-response,"RNA-seq, IHC",Medium,Immune checkpoint,Suppresses T cell activation; upregulation linked to poor response,"TCGA, TIMER",https://pmc.ncbi.nlm.nih.gov/articles/PMC11973099/
Pan-Cancer,Anti-CTLA-4,TIGIT,TIGIT,Amplification,Non-response,"RNA-seq, IHC",Medium,Immune checkpoint,Inhibits T cell and NK cell activity,"TCGA, TIMER",https://pmc.ncbi.nlm.nih.gov/articles/PMC11973099/
Pan-Cancer,Anti-CTLA-4,HLA Class I,HLA-A/B/C,Deletion/Mutation,Non-response,"WES, RNA-seq",Medium,Antigen-presenting,"Loss impairs antigen presentation, reducing immune detection","TCGA, COSMIC",https://jitc.bmj.com/content/8/Suppl_3/A46
Pan-Cancer,Anti-CTLA-4,IFN-γ Signature,IFNG,Upregulation,Response,RNA-seq,Medium,Cytokine,"Promotes anti-tumor immunity, enhances T cell function","TCGA, GEO",https://jitc.bmj.com/content/8/Suppl_3/A46
Pan-Cancer,Anti-CTLA-4,Treg Cell Frequency,FOXP3,N/A,Non-response,"CyTOF, Flow cytometry",Medium,Transcription factor,High Treg levels suppress anti-tumor immunity,"GEO, TCGA","https://pmc.ncbi.nlm.nih.gov/articles/PMC5840795/, https://pubmed.ncbi.nlm.nih.gov/29510697/"
Pan-Cancer,Anti-CTLA-4,TCR Clonality,N/A,N/A,Response,TCR-seq,Medium,N/A (repertoire),High clonality indicates focused anti-tumor T cell response,"TCGA, GEO",https://jitc.bmj.com/content/8/Suppl_3/A46
Pan-Cancer,Anti-CTLA-4,MHC Class II,HLA-DRA,Deletion/Mutation,Non-response,"WES, RNA-seq",Medium,Antigen-presenting,Loss impairs CD4+ T cell activation,"TCGA, COSMIC",https://jitc.bmj.com/content/8/Suppl_3/A46
Pan-Cancer,Anti-CTLA-4,B2M,B2M,Mutation,Non-response,"WES, RNA-seq",Medium,Antigen-presenting,"Loss disrupts MHC I surface expression, reducing immune recognition","TCGA, COSMIC",https://jitc.bmj.com/content/8/Suppl_3/A46
Pan-Cancer,Anti-EGFR,EGFR amplification,EGFR,Amplification,Response,"Copy number (FISH, NGS)",Medium,Receptor tyrosine kinase,"Increased EGFR signaling, may enhance response","TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC2758310/, https://www.binasss.sa.cr/set21/46.pdf"
Pan-Cancer,Anti-EGFR,PIK3CA mutation,PIK3CA,Mutation,Non-response,"Somatic mutation (NGS, PCR)",Medium,Kinase (enzyme),"Activates PI3K/AKT pathway, confers resistance","TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC4974592/, https://www.binasss.sa.cr/set21/46.pdf"
Pan-Cancer,Anti-EGFR,PTEN loss,PTEN,Deletion/Disruption,Non-response,"IHC, NGS, copy number",Medium,Phosphatase (enzyme),"Loss activates PI3K/AKT, reduces anti-EGFR efficacy","TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC4974592/, https://www.binasss.sa.cr/set21/46.pdf"
Pan-Cancer,Anti-EGFR,HER2 amplification,ERBB2,Amplification,Non-response,"Copy number (FISH, NGS)",Medium,Receptor tyrosine kinase,"Activates alternative growth pathways, confers resistance","TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Anti-EGFR,MET amplification,MET,Amplification,Non-response,"Copy number (FISH, NGS)",Medium,Receptor tyrosine kinase,"Activates bypass signaling, confers resistance","TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Anti-EGFR,EREG expression,EREG,Overexpression,Response,"RNA-seq, qPCR",Medium,Growth factor,High ligand expression predicts better response,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC4974592/
Pan-Cancer,Anti-EGFR,AREG expression,AREG,Overexpression,Response,"RNA-seq, qPCR",Medium,Growth factor,High ligand expression predicts better response,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC4974592/
Pan-Cancer,Anti-PD-1,ISG15,ISG15,Expression,Response,"RNA-seq, IHC",Medium,Ubiquitin-like modifier,"Promotes anti-tumor immunity, associated with better response","TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC11985735/
Pan-Cancer,Anti-PD-1,PD-1,PDCD1,Expression,Response,"IHC, RNA-seq",Medium,Receptor,Marker of T cell exhaustion; high levels may indicate immune engagement,"TCGA, GEO",https://www.cancernetwork.com/view/print-biomarkers-for-response-to-anti-pd-1-anti-pd-l1-immune-checkpoint-inhibitors-a-large-meta-analysis
Pan-Cancer,Anti-PD-1,CTLA-4,CTLA4,Expression,Non-response,"IHC, RNA-seq",Medium,Receptor,Immune checkpoint; high expression may indicate resistance,"TCGA, GEO",https://www.cancernetwork.com/view/print-biomarkers-for-response-to-anti-pd-1-anti-pd-l1-immune-checkpoint-inhibitors-a-large-meta-analysis
Pan-Cancer,Anti-PD-1,LAG-3,LAG3,Expression,Non-response,"IHC, RNA-seq",Medium,Receptor,Immune checkpoint; upregulation linked to adaptive resistance,"TCGA, GEO",https://www.cancernetwork.com/view/print-biomarkers-for-response-to-anti-pd-1-anti-pd-l1-immune-checkpoint-inhibitors-a-large-meta-analysis
Pan-Cancer,Anti-PD-1,Beta-2-microglobulin,B2M,"Mutation, Deletion",Non-response,"NGS, PCR",Medium,Structural protein,"Loss impairs antigen presentation, leading to immune escape","TCGA, COSMIC",https://www.cancernetwork.com/view/print-biomarkers-for-response-to-anti-pd-1-anti-pd-l1-immune-checkpoint-inhibitors-a-large-meta-analysis
Pan-Cancer,Anti-PD-1,RAC1,RAC1,Germline Mutation,Non-response (toxicity),Germline sequencing,Medium,GTPase,Associated with increased immune-related adverse events,"TCGA, COSMIC",https://jitc.bmj.com/content/10/2/e003625
Pan-Cancer,Anti-PD-1,Microbiome Signature,N/A,N/A,Response/Non-response,"16S rRNA sequencing, metagenomics",Medium,N/A (Microbial),Certain gut microbiota compositions modulate immune response,N/A,https://www.cancernetwork.com/view/print-biomarkers-for-response-to-anti-pd-1-anti-pd-l1-immune-checkpoint-inhibitors-a-large-meta-analysis
Pan-Cancer,Anti-PD-1,HLA Class I Loss,HLA-A/B/C,"Deletion, Mutation",Non-response,"NGS, PCR",Medium,Antigen-presenting,Loss impairs tumor antigen presentation to T cells,"TCGA, COSMIC",https://www.cancernetwork.com/view/print-biomarkers-for-response-to-anti-pd-1-anti-pd-l1-immune-checkpoint-inhibitors-a-large-meta-analysis
Pan-Cancer,Anti-PD-1,IFN-γ Signature,"IFNG, others",Expression,Response,"RNA-seq, gene expression profiling",Medium,Cytokine,Indicates active immune microenvironment,"TCGA, GEO",https://www.science.org/doi/10.1126/science.aar3593
Pan-Cancer,Anti-VEGF,AKAP12,AKAP12,Overexpression,Non-response,"RNA-seq, qPCR",Medium,Scaffold protein,Upregulated in resistant tumors; linked to poor prognosis and resistance,"GEO, TCGA",https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2022.943006/full
Pan-Cancer,Anti-VEGF,HIF1A,HIF1A,"Overexpression, Mutation",Non-response,"RNA-seq, IHC",Medium,Transcription factor,"Promotes hypoxia response, upregulates VEGF, drives resistance","TCGA, GEO","https://pmc.ncbi.nlm.nih.gov/articles/PMC9667458/, https://www.mdpi.com/1422-0067/14/5/9338"
Pan-Cancer,Anti-VEGF,PDGFB,PDGFB,Overexpression,Non-response,"RNA-seq, IHC",Medium,Growth factor,"Promotes alternative angiogenic pathways, bypassing VEGF blockade","TCGA, GEO","https://pmc.ncbi.nlm.nih.gov/articles/PMC9667458/, https://www.mdpi.com/1422-0067/14/5/9338"
Pan-Cancer,Anti-VEGF,FGF2,FGF2,Overexpression,Non-response,"RNA-seq, IHC",Medium,Growth factor,"Alternative pro-angiogenic factor, mediates resistance","TCGA, GEO","https://pmc.ncbi.nlm.nih.gov/articles/PMC9667458/, https://www.mdpi.com/1422-0067/14/5/9338"
Pan-Cancer,Anti-VEGF,ANGPT2,ANGPT2,Overexpression,Non-response,"RNA-seq, IHC",Medium,Growth factor,"Facilitates angiogenesis, associated with resistance","TCGA, GEO","https://pmc.ncbi.nlm.nih.gov/articles/PMC9667458/, https://www.mdpi.com/1422-0067/14/5/9338"
Pan-Cancer,Anti-VEGF,IL-8,CXCL8,Overexpression,Non-response,"ELISA, RNA-seq",Medium,Cytokine,"Pro-inflammatory, recruits pro-angiogenic myeloid cells, linked to resistance","TCGA, GEO","https://pmc.ncbi.nlm.nih.gov/articles/PMC3178272/, https://www.mdpi.com/1422-0067/14/5/9338"
Pan-Cancer,Anti-VEGF,SDF1,CXCL12,Overexpression,Non-response,"RNA-seq, IHC",Medium,Chemokine,"Recruits bone marrow-derived cells, supports angiogenesis","TCGA, GEO","https://pmc.ncbi.nlm.nih.gov/articles/PMC9667458/, https://www.mdpi.com/1422-0067/14/5/9338"
Pan-Cancer,Anti-VEGF,EMT markers,Various,Overexpression,Non-response,"RNA-seq, IHC",Medium,Various,"Epithelial-mesenchymal transition, increases aggressiveness and resistance","TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC3178272/
Pan-Cancer,Anti-VEGF,TGF-β1,TGFB1,Overexpression,Non-response,"RNA-seq, IHC",Medium,Cytokine,"Induces EMT, promotes resistance to anti-VEGF therapy","TCGA, GEO","https://pmc.ncbi.nlm.nih.gov/articles/PMC3178272/, https://www.mdpi.com/1422-0067/14/5/9338"
Pan-Cancer,Anti-VEGF,PlGF,PGF,Overexpression,Non-response,"RNA-seq, IHC",Medium,Growth factor,"Alternative angiogenic pathway, mediates resistance","TCGA, GEO","https://pmc.ncbi.nlm.nih.gov/articles/PMC9667458/, https://www.mdpi.com/1422-0067/14/5/9338"
